Id,HitboxActive,FirstActionableFrame,BaseDamage,Angle,BaseKnockBackSetKnockback,LandingLag,AutoCancel,KnockbackGrowth,Type,Name,OwnerId,LastModified
65,"-","","-","-","-","","","-",2,"Witch Twist (Grounded, Bullet Artes Extension)",1,11/27/2016 12:08:08
66,"4","29","2","90/103","W: 140/150","","","100",2,"Witch Twist (Aerial)",1,11/27/2016 12:08:08
67,"-","","-","-","-","","","-",2,"Witch Twist (Aerial, Bullet Artes Extension)",1,11/27/2016 12:08:08
68,"8-11 (Rehit rate: 3)","-","0.2","97","W: 140/80","","","100",2,"Witch Twist (Middle Hits)",1,11/27/2016 12:08:08
69,"12-16 (Rehit rate: 3)","-","0.2","100","W: 75/30","","","100",2,"Witch Twist (Middle Hits)",1,11/27/2016 12:08:08
70,"17-22 (Rehit rate: 3)","-","0.2","366","W: 70/135","","","100",2,"Witch Twist (Middle Hits)",1,11/27/2016 12:08:08
71,"24-25","-","3","34","55","","","80",2,"Witch Twist (Final Hit, 1st Use)",1,11/27/2016 12:08:08
72,"24-25","-","3","0","30","","","50",2,"Witch Twist (Final Hit, 2nd Use)",1,11/27/2016 12:08:08
73,"Counters: 5-21 (Intangible: 5-16)","50","-","-","-","","","-",2,"Witch Time",1,11/27/2016 12:08:08
74,"17-29","-","-","-","-","","","-",2,"Witch Time (Bat Within)",1,11/27/2016 12:08:08
75,"7-9 (Arm Intangible: 7-9)","21","5","30/50/85","W: 45/30/18","","","100",1,"Jab 1",2,11/27/2016 12:08:08
76,"9-11 (Arm Intangible: 9-11)","26","6.5","361","50","","","100",1,"Jab 2",2,11/27/2016 12:08:08
77,"11-14","56","12 (+1)","80","110","","","35",1,"Dash Attack",2,11/27/2016 12:08:08
78,"15-20","-","10 (+1)","80","80","","","30",1,"Dash Attack (Late)",2,11/27/2016 12:08:09
79,"10-14 (Arm Intangible: 10-14)","38","12","361","45","","","83",1,"Ftilt (All Angles)",2,11/27/2016 12:08:09
80,"11-16 (Arm Intangible: 12-16)","41","9","100","55","","","97",1,"Utilt",2,11/27/2016 12:08:09
81,"10-12 (Arm Intangible: 10-12)","46","14","361","20","","","100",1,"Dtilt (Hit 1)",2,11/27/2016 12:08:09
82,"20-22 (Arm Intangible: 20-22)","-","11","361","12","","","100",1,"Dtilt (Hit 2)",2,11/27/2016 12:08:09
83,"22-23 (Legs Intangible: 20-25)","70","23/20","361","25","","","98",1,"Fsmash",2,11/27/2016 12:08:09
84,"24-27 (Cannot Rebound)","-","17/14","361","10","","","103",1,"Fsmash (Late)",2,11/27/2016 12:08:09
85,"16-23 (Shell Invincibility: 14-27, Cannot Rebound)","58","20/15/15","90/70/120","23","","","90/100/100",1,"Usmash",2,11/27/2016 12:08:09
86,"37 (Ground Only)","-","6","70","80","","","100",1,"Usmash (Landing)",2,11/27/2016 12:08:09
87,"10","72","2","150","W: 60","","","100",1,"Dsmash (Hit 1)",2,11/27/2016 12:08:09
88,"14-15, 17-18, 20-21, 23-24, 26-27","-","1","150/150/190/190","40","","","50",1,"Dsmash (Hit 2-6)",2,11/27/2016 12:08:09
89,"31","-","9","48","40","","","130",1,"Dsmash (Hit 7)",2,11/27/2016 12:08:09
91,"9-10","39","","","","","","",1,"Standing Grab",2,11/27/2016 12:08:09
92,"10-11","48","","","","","","",1,"Dash Grab",2,11/27/2016 12:08:09
93,"11-12","46","","","","","","",1,"Pivot Grab",2,11/27/2016 12:08:09
95,"-","-","12","45","60","","","66",3,"Fthrow",2,11/27/2016 12:08:09
96,"-","-","12","45","60","","","66",3,"Bthrow",2,11/27/2016 12:08:09
97,"-","-","0.5&#37;&#215;7, 1, 2","82","25","","","180",3,"Uthrow (Luigi Dthrow Reincarnated)",2,11/27/2016 12:08:09
98,"-","-","10, 2","50","90","","","50",3,"Dthrow",2,11/27/2016 12:08:09
104,"8-29","48","6","75","20","20","1-3, 45&gt;","50",0,"Nair (Hit 1)",2,11/27/2016 12:08:09
105,"14-29","-","6","75","20","-","-","100",0,"Nair (Hit 2)",2,11/27/2016 12:08:09
106,"18-29","-","6","75","60","-","-","90",0,"Nair (Hit 3)",2,11/27/2016 12:08:09
107,"18-29","-","6","75","60","-","-","90",0,"Nair (Hit 4)",2,11/27/2016 12:08:09
108,"11-14","42","13/12/11","361","40","24","1-3, 31&gt;","80",0,"Fair",2,11/27/2016 12:08:09
109,"9-11","45","19","35","20","40","1-2, 31&gt;","88",0,"Bair",2,11/27/2016 12:08:09
110,"9-13 (Head Intangible: 3-13)","45","15","85","35","28","1-2, 40&gt;","85",0,"Uair",2,11/27/2016 12:08:09
111,"17-24","78","16","275","30","40","1-13, 70&gt;","100",0,"Dair (Meteor)",2,11/27/2016 12:08:09
112,"25-49","-","16","56","30","-","-","100",0,"Dair",2,11/27/2016 12:08:09
113,"1-3 (Ground Only)","-","2","20","60","-","-","30",0,"Dair (Landing)",2,11/27/2016 12:08:09
114,"23, 30, 37, 44...","78","1.2","55","20","","","30",2,"Fire Breath",2,11/27/2016 12:08:09
115,"28, 35, 42, 49...","-","1.2","65","20","","","30",2,"Fire Breath (Flinchless)",2,11/27/2016 12:08:09
116,"8","43","-","-","-","","","-",2,"Flying Slam (Command Grab, Ground)",2,11/27/2016 12:08:09
117,"17","50","-","-","-","","","-",2,"Flying Slam (Command Grab, Aerial)",2,11/27/2016 12:08:09
118,"-","-","18","60","80","","","60",2,"Flying Slam (Hitbox)",2,11/27/2016 12:08:09
119,"6-38 (Rehit rate: 5)","82","1","180","W: 50/70/70","","","100",2,"Whirling Fortress (Ground)",2,11/27/2016 12:08:09
120,"39","-","4","60","70","","","150",2,"Whirling Fortress (Final Hit, Ground)",2,11/27/2016 12:08:09
121,"6-7","-","10","80","80","","","60",2,"Whirling Fortress (Aerial, Hit 1)",2,11/27/2016 12:08:09
122,"8-11, 12-15, 16-19, 20-23, 24-27","-","3","84","50","","","20",2,"Whirling Fortress (Aerial, Hits 2-6)",2,11/27/2016 12:08:09
123,"28-31, 32-25, 36-39, 40-43, 44-47","-","2","84","50","","","20",2,"Whirling Fortress (Aerial, Hits 7-11)",2,11/27/2016 12:08:09
124,"11","-","4","85","W: 90","","","100",2,"Bowser Bomb (Hit 1)",2,11/27/2016 12:08:09
125,"38-","-","20 (+5)","76","45","","","75",2,"Bowser Bomb (Hit 2)",2,11/27/2016 12:08:09
126,"1-2 (Ground Only)","56","11 (+5)","76","60","","","72",2,"Bowser Bomb (Landing)",2,11/27/2016 12:08:09
127,"32-","-","20 (+5)","76","45","","","75",2,"Bowser Bomb (Aerial)",2,11/27/2016 12:08:09
128,"4-6","20","3","361","10","","","50",1,"Jab 1",3,11/27/2016 12:08:10
129,"4-6","40","2","80/70","24","","","50",1,"Jab 2",3,11/27/2016 12:08:10
130,"-","-","2","74/92","20","","","20",1,"Rapid Jab (Hit 1, 3, 5...)",3,11/27/2016 12:08:10
131,"-","-","2","74","20","","","20",1,"Rapid Jab (Hit 2, 4, 6...)",3,11/27/2016 12:08:10
132,"9-11","40","3","361","60","","","170",1,"Rapid Jab Finisher",3,11/27/2016 12:08:10
133,"8-20 (Rehit rate: 3)","50","1.5","25","0","","","100",1,"Dash Attack",3,11/27/2016 12:08:10
134,"25-26","-","4","60","100","","","70",1,"Dash Attack (Final Hit)",3,11/27/2016 12:08:10
135,"7-9","34","8","361","30","","","110",1,"Ftilt (All Angles)",3,11/27/2016 12:08:10
136,"7-14","33","6","97","48","","","99",1,"Utilt",3,11/27/2016 12:08:10
137,"4-6","41","1.5","94/45","W: 30","","","100",1,"Dtilt (Hit 1)",3,11/27/2016 12:08:10
138,"12-14","-","1.5","94/55","W: 30","","","100",1,"Dtilt (Hit 2)",3,11/27/2016 12:08:10
139,"23-25","-","5","45","20","","","150",1,"Dtilt (Hit 3)",3,11/27/2016 12:08:10
140,"18-32 (Rehit rate: 3)","56","1","93","20","","","10",1,"Fsmash",3,11/27/2016 12:08:10
141,"36-38","-","11","46","40","","","136",1,"Fsmash (Final Hit)",3,11/27/2016 12:08:10
142,"7-9 (Ground Only)","57","1","97","W: 80","","","100",1,"Usmash (Launcher)",3,11/27/2016 12:08:10
143,"10-24 (Rehit rate: 4)","-","1.3","110/190/140","W: 12/17/50","","","100",1,"Usmash",3,11/27/2016 12:08:10
144,"25","-","1","120","W: 35","","","100",1,"Usmash (Hit 6)",3,11/27/2016 12:08:10
145,"30-31","-","6","85","32","","","175",1,"Usmash (Final Hit)",3,11/27/2016 12:08:10
146,"15-16","60","18","53","40","","","89",1,"Dsmash",3,11/27/2016 12:08:10
148,"12-13","36","","","","","","",1,"Standing Grab",3,11/27/2016 12:08:10
149,"13-14","45","","","","","","",1,"Dash Grab",3,11/27/2016 12:08:10
150,"12-13","42","","","","","","",1,"Pivot Grab",3,11/27/2016 12:08:10
152,"-","-","3, 6","45","60","","","70",3,"Fthrow",3,11/27/2016 12:08:10
153,"-","-","12","45","50","","","65",3,"Bthrow",3,11/27/2016 12:08:10
154,"-","-","7","80","55","","","85",3,"Uthrow",3,11/27/2016 12:08:10
155,"-","-","0.5 (Rehit rate: 5), 4","55","80","","","110",3,"Dthrow",3,11/27/2016 12:08:10
161,"7-8","44","6","361","50","18","1-6, 42&gt;","100",0,"Nair (Early)",3,11/27/2016 12:08:10
162,"9-13","-","5","361","40","-","-","100",0,"Nair",3,11/27/2016 12:08:10
163,"14-19","-","3","361","30","-","-","100",0,"Nair (Late)",3,11/27/2016 12:08:10
164,"10-13","44","11/9","45","33","27","1-2, 34&gt;","93",0,"Fair (Early)",3,11/27/2016 12:08:10
165,"14-17","-","9/7","45","33","-","-","93",0,"Fair",3,11/27/2016 12:08:10
166,"18-23","-","7/5","45","33","-","-","93",0,"Fair (Late)",3,11/27/2016 12:08:10
167,"2 (Ground Only)","-","2","60","60","-","-","100",0,"Fair (Landing)",3,11/27/2016 12:08:10
168,"12-13","46","14/8","361","30/7","24","1-11, 30&gt;","92",0,"Bair",3,11/27/2016 12:08:10
169,"14-18","-","10","361","7","-","-","92",0,"Bair (Late)",3,11/27/2016 12:08:10
170,"6-9","26","10","68","30","15","16&gt;","100",0,"Uair",3,11/27/2016 12:08:10
171,"10-13","-","6.5","68","30","-","-","80",0,"Uair (Late)",3,11/27/2016 12:08:10
172,"15-38 (Rehit rate: 4)","57","1.3","270/366/365","W: 30/B: 30/30","25","54&gt;","100",0,"Dair",3,11/27/2016 12:08:10
173,"39 (Aerial Only)","-","2","64","70","-","-","130",0,"Dair (Final Hit)",3,11/27/2016 12:08:10
174,"1-2","26 (On Hit)","2","50","40","-","-","180",0,"Dair (Landing)",3,11/27/2016 12:08:10
175,"43-","81","8.5","50","40","","","82",2,"Clown Cannon (No Charge)",3,11/27/2016 12:08:10
176,"?","-","5.9","50","40","","","82",2,"Clown Cannon (No Charge, Late)",3,11/27/2016 12:08:10
177,"103-","141","20","50","40","","","82",2,"Clown Cannon (Full Charge)",3,11/27/2016 12:08:10
178,"?","-","14","50","40","","","82",2,"Clown Cannon (Full Charge, Late)",3,11/27/2016 12:08:10
179,"20- (Jump Cancellable: Frame 21-)","-","4","80","60","","","80",2,"Clown Kart Dash (Ground Dash)",3,11/27/2016 12:08:10
180,"5-12","-","8","361","60","","","80",2,"Clown Kart Dash (Spinout)",3,11/27/2016 12:08:10
181,"21-22","-","5","80","50","","","25",2,"Abandon Ship! (Initial)",3,11/27/2016 12:08:10
182,"60-61","-","13","55","85","","","70",2,"Abandon Ship! (Explosion)",3,11/27/2016 12:08:10
183,"8, 13","40","15/10","361","50","","","90",2,"Abandon Ship! (Hammer)",3,11/27/2016 12:08:10
184,"54-197 (Tackle), 258 (Generated on: Frame 13)","68","2","85","W: 68","","","100",2,"Mechakoopa (Projectile)",3,11/27/2016 12:08:10
185,"-","-","7","50","70","","","70",2,"Mechakoopa (Explosion)",3,11/27/2016 12:08:10
186,"3-5","18","2","80","W: 20","","","100",1,"Jab 1",4,11/27/2016 12:08:11
187,"5-7","19","2","80","W: 20","","","100",1,"Jab 2",4,11/27/2016 12:08:11
188,"6-8","33","5","361","70","","","100",1,"Jab 3",4,11/27/2016 12:08:11
189,"-","-","1","85/75/90","15/15/8","","","50/50/30",1,"Rapid Jab",4,11/27/2016 12:08:11
190,"6-7","40","2","45","110","","","70",1,"Rapid Jab Finisher",4,11/27/2016 12:08:11
191,"7-9","38","10 (+1)","65","90","","","50",1,"Dash Attack",4,11/27/2016 12:08:11
192,"10-16","-","6 (+1)","65","90","","","50",1,"Dash Attack (Late)",4,11/27/2016 12:08:11
193,"9-11","32","10/9/9","361","10","","","100",1,"Ftilt (Angled Up)",4,11/27/2016 12:08:11
194,"9-11","-","9/9/8","361","10","","","100",1,"Ftilt",4,11/27/2016 12:08:11
195,"9-11","-","10/9/9","361","10","","","100",1,"Ftilt (Angled Down)",4,11/27/2016 12:08:11
196,"17-20","40","11","60/275/60/60","35/22/35/35","","","100",1,"Utilt",4,11/27/2016 12:08:11
197,"11-12","35","10","25","38","","","80",1,"Dtilt",4,11/27/2016 12:08:11
198,"19-22","60","20","45","24","","","95",1,"Fsmash (Angled Up)",4,11/27/2016 12:08:11
199,"19-22","-","19","43","24","","","95",1,"Fsmash",4,11/27/2016 12:08:11
200,"19-22","-","20","38","24","","","83",1,"Fsmash (Angled Down)",4,11/27/2016 12:08:11
201,"22","52","6/6/11/11","95/110/80/90","W: 120/140/20/20 B: 0/0/30/30","","","90",1,"Usmash (Hit 1)",4,11/27/2016 12:08:11
202,"28","-","13/13/12","83/85/70","30","","","104/106/112",1,"Usmash (Hit 2)",4,11/27/2016 12:08:11
203,"19-20","49","14","361","30","","","90",1,"Dsmash (Hit 1)",4,11/27/2016 12:08:11
204,"29-30","-","18","361","20","","","90",1,"Dsmash (Hit 2)",4,11/27/2016 12:08:11
206,"7-8","31","","","","","","",1,"Standing Grab",4,11/27/2016 12:08:11
207,"9-10","38","","","","","","",1,"Dash Grab",4,11/27/2016 12:08:11
208,"12-13","37","","","","","","",1,"Pivot Grab",4,11/27/2016 12:08:11
210,"-","-","5, 4","45","55","","","120",3,"Fthrow",4,11/27/2016 12:08:11
211,"-","-","5, 4","135","60","","","130",3,"Bthrow",4,11/27/2016 12:08:11
212,"-","-","4, 3","85","80","","","110",3,"Uthrow",4,11/27/2016 12:08:11
213,"-","-","6","65","80","","","45",3,"Dthrow",4,11/27/2016 12:08:11
219,"7-8","45","4","86/78/74","W: 55","12","1-3, 32&gt;","100",0,"Nair (Hit 1)",4,11/27/2016 12:08:11
220,"20-21","-","6","361","45","-","-","130",0,"Nair (Hit 2)",4,11/27/2016 12:08:11
221,"14","46","19/6","32/361","30/35","30","1-4, 42&gt;","93/80",0,"Fair",4,11/27/2016 12:08:11
222,"15-30","-","3","361","35","-","-","80",0,"Fair (Late)",4,11/27/2016 12:08:11
223,"10-11","36","13","361","25","12","1-4, 19&gt;","100",0,"Bair",4,11/27/2016 12:08:11
224,"12-15","-","8","361","25","-","-","100",0,"Bair (Late)",4,11/27/2016 12:08:11
225,"6-10","34","11/10","70","10","9","24&gt;","100",0,"Uair",4,11/27/2016 12:08:11
226,"11-12","-","10/9","30","8","-","-","80",0,"Uair (Late)",4,11/27/2016 12:08:11
227,"16-18","45","14","270/361","10/40","21","1-3, 39&gt;","100",0,"Dair",4,11/27/2016 12:08:11
228,"53-57","110","25","361","0","","","90",2,"Falcon Punch",4,11/27/2016 12:08:12
229,"53-57","-","22","361","0","","","90",2,"Falcon Punch (Aerial)",4,11/27/2016 12:08:12
230,"61-65","118","28","361","0","","","90",2,"Falcon Punch (B-Reversed)",4,11/27/2016 12:08:12
231,"61-65","-","25","361","0","","","90",2,"Falcon Punch (B-Reversed, Aerial)",4,11/27/2016 12:08:12
232,"Inert Detector: 16-35","80","-","-","-","","","-",2,"Raptor Boost (Ground)",4,11/27/2016 12:08:12
233,"Inert Detector: 19-35","-","-","-","-","","","-",2,"Raptor Boost (Aerial)",4,11/27/2016 12:08:12
234,"4-8","36","9 (+4)","85","100","","","75",2,"Raptor Boost (Attack, Ground)",4,11/27/2016 12:08:12
235,"5-6","-","8 (+2)","60/275/60","60","","","80/70/80",2,"Raptor Boost (Attack, Aerial)",4,11/27/2016 12:08:12
236,"14-30","-","-","-","-","","","-",2,"Falcon Dive (Command Grab)",4,11/27/2016 12:08:12
237,"-","-","5","361","0","","","0",2,"Falcon Dive (Latch)",4,11/27/2016 12:08:12
238,"-","61","12","50","40","","","82",2,"Falcon Dive (Attack)",4,11/27/2016 12:08:12
239,"18-20","74","13","80","60","","","80",2,"Falcon Kick (Early, Ground)",4,11/27/2016 12:08:12
240,"21-28","-","11","68","90","","","40",2,"Falcon Kick (Ground)",4,11/27/2016 12:08:12
241,"29-38","-","7","50","80","","","60",2,"Falcon Kick (Late, Ground)",4,11/27/2016 12:08:12
242,"16-17","60","15","361","40","","","65",2,"Falcon Kick (Early, Aerial)",4,11/27/2016 12:08:12
243,"18-25","-","13","361","40","","","65",2,"Falcon Kick (Aerial)",4,11/27/2016 12:08:12
244,"26-33","-","11","361","40","","","65",2,"Falcon Kick (Late, Aerial)",4,11/27/2016 12:08:12
245,"2-3","49","9","80","80","","","20",2,"Falcon Kick (Landing)",4,11/27/2016 12:08:12
246,"4-5","23","3","120/361/361","W: 26/22/22","","","100",1,"Jab 1",5,11/27/2016 12:08:12
247,"5-6","26","4","80/55/30","25/25/40","","","50",1,"Jab 2",5,11/27/2016 12:08:12
248,"7-9","34","5","70/60/50/45","60","","","130",1,"Jab 3",5,11/27/2016 12:08:12
249,"10-12","40","11 (+1)","50/60","100","","","45",1,"Dash Attack",5,11/27/2016 12:08:12
250,"13-20","-","8 (+1)","50/60","100","","","30",1,"Dash Attack (Late)",5,11/27/2016 12:08:12
251,"11-13","43","11/7/11/7","40/361/40/361","40","","","100",1,"Ftilt (All Angles)",5,11/27/2016 12:08:12
252,"9-13","34","8","96","40","","","130",1,"Utilt",5,11/27/2016 12:08:13
253,"7-8","31","0","30","W: 72","","","60",1,"Dtilt (Windbox)",5,11/27/2016 12:08:13
254,"9-10","31","10","30","60","","","60",1,"Dtilt",5,11/27/2016 12:08:13
255,"22 (Invincible: 22-25)","70","17","45","60","","","94",1,"Fsmash",5,11/27/2016 12:08:13
256,"23-24","-","17/14","45","60","","","94",1,"Fsmash (Late)",5,11/27/2016 12:08:13
257,"6 (Aerial Only)","49","5","110","W: 100","","","100",1,"Usmash (Hit 1)",5,11/27/2016 12:08:13
258,"7-11","-","5","140/100/280","W: 30/60/10","","","100",1,"Usmash (Hit 1)",5,11/27/2016 12:08:13
259,"17-21","-","11","83","40","","","107",1,"Usmash (Hit 2)",5,11/27/2016 12:08:13
260,"14-16","61","16","33/33/46/46","40","","","79/79/85/85",1,"Dsmash",5,11/27/2016 12:08:13
262,"8-9","34","","","","","","",1,"Standing Grab",5,11/27/2016 12:08:13
263,"10-11","42","","","","","","",1,"Dash Grab",5,11/27/2016 12:08:13
264,"11-12","40","","","","","","",1,"Pivot Grab",5,11/27/2016 12:08:13
266,"-","-","10","40","60","","","65",3,"Fthrow",5,11/27/2016 12:08:13
267,"-","-","10","361","60","","","65",3,"Bthrow",5,11/27/2016 12:08:13
268,"-","-","8, 3","70","50","","","220",3,"Uthrow",5,11/27/2016 12:08:13
269,"-","-","1&#37;&#215;5, 1","70","70","","","130",3,"Dthrow",5,11/27/2016 12:08:13
275,"9-25","60","12/9/9/9","361","30","20","1-3, 31&gt;","78",0,"Nair",5,11/27/2016 12:08:13
276,"8-9","47","12","361","35","22","1-4, 35&gt;","92",0,"Fair",5,11/27/2016 12:08:13
277,"10-11","-","13","34","32","-","-","97",0,"Fair (Late)",5,11/27/2016 12:08:13
278,"14-16","46","16/14/11/11","361","50","24","1-3, 44&gt;","90",0,"Bair",5,11/27/2016 12:08:13
279,"12-15 (Head Intangible: 11-15)","46","13","85","30","20","1-4, 41&gt;","105",0,"Uair",5,11/27/2016 12:08:13
280,"18-20","52","14","270","20","33","1-4, 41&gt;","100",0,"Dair",5,11/27/2016 12:08:13
281,"21-26","-","8","55/361","20","-","-","100",0,"Dair (Late)",5,11/27/2016 12:08:13
282,"20, 27, 34, 41...","71","2/1","45/58","30/15","","","50/30",2,"Flamethrower",5,11/27/2016 12:08:13
283,"23- (Damage Based Armor: 15%, Frames 23-53)","102","4","60","60","","","80",2,"Flare Blitz (Hit 1)",5,11/27/2016 12:08:13
284,"?","-","15","361","70","","","84",2,"Flare Blitz (Hit 2)",5,11/27/2016 12:08:13
285,"9-10 (Super Armor: 4-15)","-","5","70/95/80","W: 130/140/140","","","100",2,"Fly (Hit 1)",5,11/27/2016 12:08:13
286,"16-26 (Rehit rate: 3)","-","2","72/90/90","W: 90/100/100","","","100",2,"Fly",5,11/27/2016 12:08:13
287,"27-28","-","4","75","70","","","150",2,"Fly (Final Hit)",5,11/27/2016 12:08:13
288,"24-26 (Super Armor: 5-23)","72","14","60","60","","","80",2,"Rock Smash (Hit 1)",5,11/27/2016 12:08:13
289,"27-46","-","3","70","50","","","70",2,"Rock Smash (Hits 2-6)",5,11/27/2016 12:08:13
290,"4-5","30","2.5","60/82/82","42/42/28","","","24",1,"Jab 1",6,11/27/2016 12:08:14
291,"5-6","33","2","65/35/55","33/33/28","","","25",1,"Jab 2",6,11/27/2016 12:08:14
292,"6-7","38","3.5","30","75","","","50",1,"Jab 3",6,11/27/2016 12:08:14
293,"9-13","46","11 (+1)","60","100","","","60",1,"Dash Attack",6,11/27/2016 12:08:14
294,"14-18","-","8 (+1)","65","100","","","50",1,"Dash Attack (Late)",6,11/27/2016 12:08:14
295,"9-10","36","11","361","20","","","100",1,"Ftilt",6,11/27/2016 12:08:14
